movie_id,date,domestic
1,2013-04-20,13300000
1,2013-04-25,45206850
1,2013-04-27,52388000
2,2013-04-27,7500000
1,2013-05-02,69243165
2,2013-05-02,25217015
1,2013-05-04,71872000
2,2013-05-04,28664000
3,2013-05-04,68312000
1,2013-05-09,77309710
2,2013-05-09,35958390
3,2013-05-09,204811482
1,2013-05-11,78792000
2,2013-05-11,37932000
3,2013-05-11,232178000
4,2013-05-11,19400000
1,2013-05-16,83028135
2,2013-05-16,43131000
3,2013-05-16,298595076
4,2013-05-16,63315554
1,2013-05-18,83884000
2,2013-05-18,44350000
3,2013-05-18,311404000
4,2013-05-18,74394000
5,2013-05-18,35536000
1,2013-05-23,86312130
2,2013-05-23,47767740
3,2013-05-23,345876981
4,2013-05-23,98568363
5,2013-05-23,103773288
1,2013-05-25,86685000
2,2013-05-25,47912000
3,2013-05-25,353196000
4,2013-05-25,104687000
5,2013-05-25,119027000
6,2013-05-25,9350000
7,2013-05-25,38200000
8,2013-05-25,26319000
1,2013-05-30,87624240
2,2013-05-30,48848486
3,2013-05-30,375582715
4,2013-05-30,120767575
5,2013-05-30,162193907
6,2013-05-30,46955625
7,2013-05-30,130846355
8,2013-05-30,69448603
1,2013-06-01,87672965
2,2013-06-01,48894753
3,2013-06-01,378947000
4,2013-06-01,123931000
5,2013-06-01,169192000
6,2013-06-01,52911000
7,2013-06-01,146340000
8,2013-06-01,77386000
9,2013-06-01,10050000
1,2013-06-06,88187355
2,2013-06-06,49100744
3,2013-06-06,387631585
4,2013-06-06,131101104
5,2013-06-06,186681718
6,2013-06-06,70064516
7,2013-06-06,180349245
8,2013-06-06,93578458
9,2013-06-06,38812568
10,2013-06-06,33659385
1,2013-06-08,88226450
2,2013-06-08,49115738
3,2013-06-08,390198000
4,2013-06-08,133295000
5,2013-06-08,191650000
6,2013-06-08,75655000
7,2013-06-08,189286000
8,2013-06-08,97309000
9,2013-06-08,47919000
10,2013-06-08,38742000
11,2013-06-08,6550000
1,2013-06-13,88566305
2,2013-06-13,49246213
3,2013-06-13,396159803
4,2013-06-13,137848431
5,2013-06-13,203715975
6,2013-06-13,88095409
7,2013-06-13,208652930
8,2013-06-13,104705225
9,2013-06-13,65767900
10,2013-06-13,49562520
11,2013-06-13,22572705
12,2013-06-13,7815952
1,2013-06-15,88594710
2,2013-06-15,49253591
3,2013-06-15,397438000
4,2013-06-15,138484000
5,2013-06-15,206275000
6,2013-06-15,91254000
7,2013-06-15,212841000
8,2013-06-15,106106000
9,2013-06-15,72979000
10,2013-06-15,50464015
11,2013-06-15,26251000
12,2013-06-15,19158000
13,2013-06-15,56050000
1,2013-06-20,88857850
2,2013-06-20,49304852
3,2013-06-20,400669434
4,2013-06-20,140786050
5,2013-06-20,213088052
6,2013-06-20,98528295
7,2013-06-20,222928095
8,2013-06-20,109057272
9,2013-06-20,85384801
10,2013-06-20,56093801
11,2013-06-20,34205521
12,2013-06-20,42690732
13,2013-06-20,161779897
1,2013-06-22,88885055
2,2013-06-22,49309421
3,2013-06-22,401606000
4,2013-06-22,140998103
5,2013-06-22,214466000
6,2013-06-22,99755000
7,2013-06-22,225137000
8,2013-06-22,109296468
9,2013-06-22,89031000
10,2013-06-22,56442209
11,2013-06-22,36015000
12,2013-06-22,48892000
13,2013-06-22,181491000
14,2013-06-22,30507000
15,2013-06-22,25000000
1,2013-06-27,89085090
2,2013-06-27,49345656
3,2013-06-27,403823046
4,2013-06-27,141894331
5,2013-06-27,218063851
6,2013-06-27,101896222
7,2013-06-27,230407285
8,2013-06-27,110279934
9,2013-06-27,98122617
10,2013-06-27,57805770
11,2013-06-27,39884429
12,2013-06-27,64238073
13,2013-06-27,223924818
14,2013-06-27,115333157
15,2013-06-27,88294543
1,2013-06-29,89107235
2,2013-06-29,49349189
3,2013-06-29,404452000
4,2013-06-29,141988676
5,2013-06-29,218998000
6,2013-06-29,102445000
7,2013-06-29,231616000
8,2013-06-29,110360429
9,2013-06-29,100891000
10,2013-06-29,57924070
11,2013-06-29,40695000
12,2013-06-29,68581000
13,2013-06-29,233855000
14,2013-06-29,139108000
15,2013-06-29,102863000
16,2013-06-29,9000000
17,2013-06-29,13600000
1,2013-07-04,89107235
2,2013-07-04,49361790
3,2013-07-04,405686271
4,2013-07-04,142505950
5,2013-07-04,221206000
6,2013-07-04,103331179
7,2013-07-04,233980000
8,2013-07-04,110787926
9,2013-07-04,106475000
10,2013-07-04,58351297
11,2013-07-04,42126409
12,2013-07-04,77439000
13,2013-07-04,256746000
14,2013-07-04,191310000
15,2013-07-04,136083000
16,2013-07-04,33453000
17,2013-07-04,55048000
18,2013-07-04,34300000
19,2013-07-04,9668000
1,2013-07-06,89107235
2,2013-07-06,49361790
3,2013-07-06,405929319
4,2013-07-06,142505950
5,2013-07-06,221206000
6,2013-07-06,103331179
7,2013-07-06,233980000
8,2013-07-06,110787926
9,2013-07-06,107645412
10,2013-07-06,58351297
11,2013-07-06,42126409
12,2013-07-06,77439000
13,2013-07-06,263691000
14,2013-07-06,203684000
15,2013-07-06,146709000
16,2013-07-06,41553000
17,2013-07-06,69998000
18,2013-07-06,89000000
19,2013-07-06,30161000
1,2013-07-11,89107235
2,2013-07-11,49572106
3,2013-07-11,406563649
4,2013-07-11,143015289
5,2013-07-11,223523979
6,2013-07-11,104304071
7,2013-07-11,235861960
8,2013-07-11,111406260
9,2013-07-11,111685295
10,2013-07-11,59058491
11,2013-07-11,42950984
12,2013-07-11,88207361
13,2013-07-11,275158775
14,2013-07-11,224629892
15,2013-07-11,165831036
16,2013-07-11,55520242
17,2013-07-11,95639791
18,2013-07-11,175330750
19,2013-07-11,57655778
1,2013-07-13,89107235
2,2013-07-13,49588150
3,2013-07-13,406609688
4,2013-07-13,143050479
5,2013-07-13,223674724
6,2013-07-13,104391414
7,2013-07-13,235985355
8,2013-07-13,111451787
9,2013-07-13,111977702
10,2013-07-13,59110142
11,2013-07-13,43002954
12,2013-07-13,89648000
13,2013-07-13,277490000
14,2013-07-13,230408000
15,2013-07-13,170424000
16,2013-07-13,58638000
17,2013-07-13,102563000
18,2013-07-13,197884000
19,2013-07-13,63330000
20,2013-07-13,16300000
21,2013-07-13,14620000
1,2013-07-18,89107235
2,2013-07-18,49694837
3,2013-07-18,406850977
4,2013-07-18,143303078
5,2013-07-18,224655809
6,2013-07-18,105128877
7,2013-07-18,236739405
8,2013-07-18,111740702
9,2013-07-18,113869035
10,2013-07-18,59514629
11,2013-07-18,43322695
12,2013-07-18,92955416
13,2013-07-18,282735742
14,2013-07-18,242664821
15,2013-07-18,180770604
16,2013-07-18,65454724
17,2013-07-18,118230455
18,2013-07-18,246099530
19,2013-07-18,75775828
20,2013-07-18,55688015
21,2013-07-18,49168221
22,2013-07-18,5552403
1,2013-07-20,89107235
2,2013-07-20,49706458
3,2013-07-20,406989864
4,2013-07-20,143329954
5,2013-07-20,224733703
6,2013-07-20,105214572
7,2013-07-20,236798975
8,2013-07-20,111770235
9,2013-07-20,113974616
10,2013-07-20,59558667
11,2013-07-20,43356800
12,2013-07-20,93610000
13,2013-07-20,283686000
14,2013-07-20,245494000
15,2013-07-20,183273000
16,2013-07-20,66768000
17,2013-07-20,122807000
18,2013-07-20,258600000
19,2013-07-20,78189000
20,2013-07-20,65916000
21,2013-07-20,57015000
22,2013-07-20,16228000
23,2013-07-20,6340000
1,2013-07-25,89107235
2,2013-07-25,49749071
3,2013-07-25,407144472
4,2013-07-25,143834053
5,2013-07-25,225297507
6,2013-07-25,105808308
7,2013-07-25,237260725
8,2013-07-25,111933604
9,2013-07-25,114629850
10,2013-07-25,59755050
11,2013-07-25,43687553
12,2013-07-25,94967345
13,2013-07-25,285827010
14,2013-07-25,251777375
15,2013-07-25,189224428
16,2013-07-25,69430120
17,2013-07-25,133169979
18,2013-07-25,287179700
19,2013-07-25,83106801
20,2013-07-25,87809512
21,2013-07-25,74715627
22,2013-07-25,39854116
23,2013-07-25,24077228
1,2013-07-27,89107235
2,2013-07-27,49753517
3,2013-07-27,407241952
